postal_code,city
1030,Schaarbeek
1180,Ukkel
1200,Sint-Lambrechts-Woluwe
1160,Oudergem
2000,Antwerpen
1150,Sint-Pieters-Woluwe
1950,Kraainem
9000,Gent
8300,Knokke
2060,Antwerpen
1330,Rixensart
2018,Antwerpen
1140,Evere
2600,Berchem
9050,Gentbrugge
1000,Elsene
2140,Borgerhout
3000,Heverlee
1090,Jette
1190,Vorst
3010,Kessel-Lo
2800,Mechelen
8000,Brugge
2610,Wilrijk
1410,Waterloo
2100,Deurne
8310,Sint-Kruis
8200,Sint-Andries
8500,Kortrijk
1081,Koekelberg
1060,Sint-Gillis
1083,Ganshoren
3020,Winksele
3001,Heverlee
9030,Mariakerke
3500,Hasselt
1020,Brussel
1130,Brussel
9300,Aalst
1080,Sint-Jans-Molenbeek
1120,Brussel
4000,Luik
9100,Sint-Niklaas
1700,Dilbeek
2020,Antwerpen
1600,Sint-Pieters-Leeuw
9040,Sint-Amandsberg
1082,Sint-Agatha-Berchem
1780,Wemmel
1620,Drogenbos
2180,Ekeren
2640,Mortsel
2030,Antwerpen
1210,Sint-Joost-ten-Node
3511,Kuringen
8510,Bellegem
1932,Sint-Stevens-Woluwe
8400,Stene
2050,Antwerpen
1702,Groot-Bijgaarden
2660,Hoboken
8501,Heule
1040,Brussel
3800,Brustem
3600,Genk
3360,Bierbeek
2150,Borsbeek
8800,Roeselare
1850,Grimbergen
1800,Vilvoorde
1830,Machelen
9041,Oostakker
1831,Diegem
1853,Strombeek-Bever
2110,Wijnegem
2300,Turnhout
1930,Zaventem
9200,Dendermonde
1970,Wezembeek-Oppem
2170,Merksem
2360,Oud-Turnhout
9070,Heusden
2812,Muizen
2900,Schoten
2160,Wommelgem
9308,Hofstade
